source,	target,	weight
europe,	georgia	421
military	military	1
florida	military	8
europe,	military	2
europe,	florida	163
ohio	ohio	74
indiana	indiana	523
calabria,italia,europe	napoli,napoli,campania,italia,europe	1
calabria,italia,europe	sicilia	1
haiti	pennsylvania	1
haiti	maryland	1
mississippi	nicaragua	11
indiana	nicaragua	6
europe,	sessa,moxico,angola,africa	1
austria	sessa,moxico,angola,africa	1
europe,	gaeta,latina,lazio,italia,europe	60
espana	europe,	939
europe,	italian	52
europe,	zhonghua	208
france	gaeta,latina,lazio,italia,europe	104
france	italian	40
france	zhonghua	237
gaeta,latina,lazio,italia,europe	torino,torino,piemonte,italia,europe	23
gaeta,latina,lazio,italia,europe	italia	77
espana	gaeta,latina,lazio,italia,europe	20
gaeta,latina,lazio,italia,europe	italian	16
gaeta,latina,lazio,italia,europe	zhonghua	53
italian	napoli,napoli,campania,italia,europe	27
napoli,napoli,campania,italia,europe	zhonghua	40
austria	espana	183
austria	italian	24
austria	zhonghua	60
espana	torino,torino,piemonte,italia,europe	28
italian	torino,torino,piemonte,italia,europe	14
torino,torino,piemonte,italia,europe	zhonghua	12
espana	rossiya	216
italian	rossiya	17
rossiya	zhonghua	69
espana	italia	192
italia	italian	105
italia	zhonghua	54
espana	sardegna	29
italian	sardegna	13
sardegna	zhonghua	7
espana	italian	9
espana	zhonghua	67
italian	zhonghua	6
michigan	michigan	42
,	zhonghua	26
eire	italia	31
eire	rossiya	47
eire	europe,	261
eire	france	328
eire	gaeta,latina,lazio,italia,europe	7
austria	eire	26
eire	zhonghua	19
eire	osterreich,europe	5
gaeta,latina,lazio,italia,europe	osterreich,europe	6
osterreich,europe	zhonghua	4
europe,	zurich,zurich,schweiz,europe	11
napoli,napoli,campania,italia,europe	zurich,zurich,schweiz,europe	3
sicilia	zurich,zurich,schweiz,europe	3
italia	zurich,zurich,schweiz,europe	4
ellas	europe,	181
mississippi	mississippi	1019
delaware	europe,	68
europe,	maryland	663
europe,	louisiana	307
europe,	kentucky	782
europe,	mississippi	230
europe,	missouri	570
europe,	tennessee	628
eire	maine	18
,	kentucky	594
asia	texas	3
danmark,europe	kobenhavn,kobenhavn,danmark,europe	9
,	louisiana	163
honduras	honduras	4
belgie	europe	4
france	germany	70
italia	portugal	49
bharat	italia	64
espana	portugal	146
bharat	espana	84
bharat	portugal	48
,	massachusetts	133
,	alabama	247
,	europe,	307
europe,	massachusetts	251
bayern	switzerland	5
bayern	bayern	6
switzerland	switzerland	10
georgia	kansas	73
california	kansas	103
boyne,meath,leinster,eire,europe	chu,guangdong,zhonghua,asia	1
boyne,meath,leinster,eire,europe	zhonghua	1
boyne,meath,leinster,eire,europe	europe,	2
chu,guangdong,zhonghua,asia	zhonghua	2
chu,guangdong,zhonghua,asia	europe,	2
baga,khulna,bangladesh,asia	mares	2
zhonghua	zhonghua,asia	83
mandarin	zhonghua	2
mandarin	zhonghua,asia	1
hessen	italia	5
italia	suriyah	29
,	italia	58
iran	italia	13
gaeta,latina,lazio,italia,europe	hessen	4
gaeta,latina,lazio,italia,europe	venezia,venezia,veneto,italia,europe	11
gaeta,latina,lazio,italia,europe	suriyah	10
gaeta,latina,lazio,italia,europe	livorno,livorno,toscana,italia,europe	4
,	gaeta,latina,lazio,italia,europe	4
gaeta,latina,lazio,italia,europe	iran	4
hessen	napoli,napoli,campania,italia,europe	8
napoli,napoli,campania,italia,europe	venezia,venezia,veneto,italia,europe	32
livorno,livorno,toscana,italia,europe	napoli,napoli,campania,italia,europe	10
,	napoli,napoli,campania,italia,europe	17
iran	napoli,napoli,campania,italia,europe	11
austria	hessen	2
austria	venezia,venezia,veneto,italia,europe	106
austria	suriyah	18
austria	livorno,livorno,toscana,italia,europe	3
,	austria	21
austria	iran	4
hessen	torino,torino,piemonte,italia,europe	2
torino,torino,piemonte,italia,europe	venezia,venezia,veneto,italia,europe	6
suriyah	torino,torino,piemonte,italia,europe	10
livorno,livorno,toscana,italia,europe	torino,torino,piemonte,italia,europe	2
,	torino,torino,piemonte,italia,europe	8
iran	torino,torino,piemonte,italia,europe	3
espana	hessen	1
hessen	italian	2
hessen	venezia,venezia,veneto,italia,europe	1
hessen	suriyah	1
france	hessen	1
hessen	rossiya	3
hessen	livorno,livorno,toscana,italia,europe	1
,	hessen	1
hessen	iran	1
espana	venezia,venezia,veneto,italia,europe	17
espana	livorno,livorno,toscana,italia,europe	1
,	espana	47
espana	iran	10
italian	italian	13
italian	venezia,venezia,veneto,italia,europe	8
italian	suriyah	4
italian	livorno,livorno,toscana,italia,europe	2
,	italian	7
iran	italian	2
suriyah	venezia,venezia,veneto,italia,europe	10
france	venezia,venezia,veneto,italia,europe	88
rossiya	venezia,venezia,veneto,italia,europe	28
livorno,livorno,toscana,italia,europe	venezia,venezia,veneto,italia,europe	3
,	venezia,venezia,veneto,italia,europe	14
iran	venezia,venezia,veneto,italia,europe	2
rossiya	suriyah	26
livorno,livorno,toscana,italia,europe	suriyah	1
,	suriyah	19
iran	suriyah	4
france	livorno,livorno,toscana,italia,europe	20
,	france	225
france	iran	17
iran	rossiya	8
,	livorno,livorno,toscana,italia,europe	1
iran	livorno,livorno,toscana,italia,europe	2
,	iran	7
portugal	sicilia	4
sicilia	suriyah	3
portugal	suriyah	3
portugal	rossiya	43
austria	portugal	31
portugal	prussia	21
prussia	suriyah	12
suriyah	suriyah	25
missouri	napoli,napoli,campania,italia,europe	4
italia	missouri	36
wisconsin	wisconsin	39
,	africa	21
bharat	virginia	30
bharat	bharat	263
colorado	virginia	45
california	oklahoma	7
oklahoma	oregon	8
connecticut	connecticut	100
cuba	virginia	3
europe	virginia	22
alabama	cuba	5
alabama	europe	11
cuba	europe	1
cuba	georgia	7
cuba	pennsylvania	1
cuba	indiana	2
europe	georgia	15
europe	pennsylvania	3
europe	indiana	2
bordeaux,gironde,aquitaine,france,europe	france	74
austria	belgie	69
belgie	venezia,venezia,veneto,italia,europe	6
belgie	napoli,napoli,campania,italia,europe	6
arizona	arizona	134
arizona	california	48
arizona	wisconsin	5
arizona	virginia	61
arizona	ohio	4
osterreich,europe	osterreich,europe	8
illinois	illinois	344
scotland	suriyah	3
europe,	suriyah	39
eire	kerry,munster,eire,europe	2
dupuy	virginia	4
kansas	missouri	717
arkansas	kansas	127
kansas	texas	124
france	illinois	166
france	wisconsin	36
france	ohio	48
france	kentucky	684
,	kansas	108
,	missouri	676
,	arkansas	164
iowa	ohio	50
africa,	iowa	11
africa,	ohio	14
canada	michigan	18
canada	florida	17
canada	virginia	16
boar	mares	3
kriti	kriti	1
ellas	kriti	2
france	switzerland	78
europe,	switzerland	38
france	virginia	445
france	georgia	285
france	massachusetts	169
alabama	france	230
kansas	nebraska	30
kansas	virginia	312
kansas	maryland	271
kansas	maine	108
nebraska	virginia	66
maryland	nebraska	55
maine	nebraska	13
maine	maine	137
algeria	france	56
algeria	valencia,valencia,valencia,espana,europe	1
france	valencia,valencia,valencia,espana,europe	8
bharat	zhonghua	91
bharat	gaeta,latina,lazio,italia,europe	10
bharat	napoli,napoli,campania,italia,europe	27
bharat	france	274
bharat	sardegna	3
rossiya	zhonghua,asia	9
louisiana	louisiana	915
ellas	virginia	24
ellas	maryland	17
ellas	louisiana	6
ellas	kentucky	19
ellas	florida	2
alabama	ellas	13
ellas	wisconsin	1
ellas	pennsylvania	15
connecticut	ellas	3
ellas	massachusetts	10
ellas	tennessee	10
ellas	vermont	1
delaware	ellas	7
ellas	missouri	8
ellas	mississippi	2
ellas	michigan	1
ellas	maine	2
ellas	georgia	16
ellas	indiana	4
ellas	illinois	6
arkansas	ellas	8
jersey	maine	3
,	maine	76
jersey	vermont	3
,	vermont	58
connecticut	jersey	2
,	connecticut	72
delaware	jersey	3
jersey	maryland	6
jersey	virginia	1
florida	jersey	3
alabama	jersey	3
jersey	mississippi	3
jersey	louisiana	3
jersey	texas	3
arkansas	jersey	3
jersey	missouri	3
jersey	tennessee	3
jersey	kentucky	3
indiana	jersey	3
illinois	jersey	3
jersey	michigan	3
jersey	wisconsin	3
jersey	minnesota	3
california	jersey	3
jersey	oregon	3
,	jersey	1
,	delaware	39
,	maryland	579
oregon	virginia	74
,	florida	114
,	mississippi	155
,	texas	165
,	tennessee	620
,	indiana	130
,	illinois	149
,	michigan	60
california	minnesota	40
minnesota	oregon	33
,	minnesota	30
,	oregon	29
corsica	italia	2
corsica	corsica	1
eire	ellas,europe	1
gaeta,latina,lazio,italia,europe	sicilia	11
italia	toscana	12
italia	modena	8
italia	parma	4
lombardy	sardegna	1
sardegna	toscana	3
modena	sardegna	2
parma	sardegna	2
lombardy	napoli,napoli,campania,italia,europe	5
lombardy	sicilia	3
lombardy	toscana	3
lombardy	modena	1
lombardy	parma	1
europe,	lombardy	24
napoli,napoli,campania,italia,europe	toscana	6
modena	napoli,napoli,campania,italia,europe	2
napoli,napoli,campania,italia,europe	parma	2
sicilia	toscana	2
modena	sicilia	1
parma	sicilia	1
modena	toscana	4
parma	toscana	2
europe,	toscana	25
modena	parma	2
europe,	modena	9
europe,	parma	8
bolivia	bolivia	16
africa,	zhonghua,asia	1
europe,	texas	319
